split,test/mae,test/r2,test/rmse
0,0.3876918852329254,0.8599649667739868,0.5449970960617065
1,0.3152262270450592,0.9033482074737549,0.4392719566822052
2,0.3606773614883423,0.8677248358726501,0.5291943550109863
3,0.3511008620262146,0.8835487961769104,0.4864717125892639
4,0.3717043101787567,0.8528175950050354,0.5527511835098267
