target,split,model,mae,mse,r2
bandgap_chain,0,Linear,0.6028481977333141,0.6780124205833759,0.6803422956892033
bandgap_chain,0,RF,0.4481003236344985,0.39465289172521145,0.8139358018545543
bandgap_chain,0,XGB,0.44916831185661854,0.40663466812662336,0.808286838765139
bandgap_chain,1,Linear,0.5303423782019462,0.5225853236135355,0.7382417053786282
bandgap_chain,1,RF,0.4038865101738632,0.30993809462716765,0.8447547923335835
bandgap_chain,1,XGB,0.4231458860919204,0.3596531048593126,0.8198529902594901
bandgap_chain,2,Linear,0.5757511866172181,0.5859894414811291,0.723218258938126
bandgap_chain,2,RF,0.4132851568016126,0.32379397274638744,0.8470616479103025
bandgap_chain,2,XGB,0.4389235454309939,0.3596539410277661,0.8301238265900813
bandgap_chain,3,Linear,0.5473164938369983,0.5547973050807177,0.7269993390404054
bandgap_chain,3,RF,0.41173825801823566,0.3527931041101826,0.8264001109557402
bandgap_chain,3,XGB,0.4436892177678771,0.4093972261316252,0.7985467623843315
bandgap_chain,4,Linear,0.573148115715992,0.6494306722744433,0.6871553622125957
bandgap_chain,4,RF,0.43444299769926625,0.4356718562098725,0.7901275534572447
bandgap_chain,4,XGB,0.43456772563821183,0.4189031754114452,0.7982053854638299
