target,split,model,acc,f1_macro,logloss,roc_auc
phase_label,0,LogReg,0.41754385964912283,0.20822397200349954,1.6364903944797946,
phase_label,0,RF,0.38596491228070173,0.16308329351807613,13.306571021118184,
phase_label,0,XGB,0.4245614035087719,0.18059701492537314,1.8964424817250196,
phase_label,1,LogReg,0.4407826982492276,0.07374893086886669,2.2115750850072704,
phase_label,1,RF,0.3429454170957775,0.11045990445715609,15.365340951905123,
phase_label,1,XGB,0.30690010298661174,0.07207990983993397,2.3168417173518248,
phase_label,2,LogReg,0.3308550185873606,0.0994413407821229,1.7014524123314592,
phase_label,2,RF,0.08921933085501858,0.0857073346147173,8.506566464585523,
phase_label,2,XGB,0.25650557620817843,0.18179838845312907,1.6026475616287537,
phase_label,3,LogReg,0.25263157894736843,0.04481792717086835,3.1308097271798543,
phase_label,3,RF,0.2807017543859649,0.0905999756306379,16.617153753828582,
phase_label,3,XGB,0.3017543859649123,0.07366208242076962,3.623500016977701,
phase_label,4,LogReg,0.37410071942446044,0.1149425287356322,1.9333348420802432,
phase_label,4,RF,0.2733812949640288,0.13477111913760786,17.83130265670697,
phase_label,4,XGB,0.34532374100719426,0.14308390022675738,2.0902267214011516,
