target,split,model,mae,mse,r2
Conductivity,0,Linear,1.6997525500874112e-05,5.133216156211189e-10,0.5684505541775564
Conductivity,0,RF,1.5871863798319325e-05,4.653211550789898e-10,0.6088045379487507
Conductivity,0,XGB,1.6845616039020095e-05,5.368362956893647e-10,0.5486817643130095
Conductivity,1,Linear,1.7636177054739758e-05,5.104905009942043e-10,0.5701007591208522
Conductivity,1,RF,1.6819582756302523e-05,5.01179562000509e-10,0.577941777900763
Conductivity,1,XGB,1.746296098199407e-05,5.345691992305014e-10,0.5498233708580298
Conductivity,2,Linear,1.7943605252324402e-05,5.86163577243641e-10,0.5825109661053711
Conductivity,2,RF,1.673808376470588e-05,5.071719819625879e-10,0.6387719247864919
Conductivity,2,XGB,1.697245244626998e-05,5.339260065084322e-10,0.6197166434724244
Conductivity,3,Linear,1.7680855923501573e-05,5.835762516610942e-10,0.5234344039702461
Conductivity,3,RF,1.5714403563025207e-05,4.5154291628233393e-10,0.6312567236610701
Conductivity,3,XGB,1.621402734432526e-05,4.851715448800704e-10,0.6037945927300625
Conductivity,4,Linear,1.8608085614045813e-05,7.88820452736605e-10,0.3651679012867888
Conductivity,4,RF,1.7176814084033616e-05,5.785291553630584e-10,0.5344075111240219
Conductivity,4,XGB,1.7677583713847196e-05,6.683253029192573e-10,0.462140778419897
TFSI Diffusivity,0,Linear,6.743203081454917e-09,7.870042004590464e-17,0.6497635865118442
TFSI Diffusivity,0,RF,6.510070117647057e-09,7.59619090038588e-17,0.6619506407245714
TFSI Diffusivity,0,XGB,6.707693286629293e-09,8.247238600998174e-17,0.6329774012502256
TFSI Diffusivity,1,Linear,6.730207633070324e-09,8.22676388481737e-17,0.6253377986661849
TFSI Diffusivity,1,RF,6.775075697478992e-09,8.432652726119797e-17,0.6159612360721378
TFSI Diffusivity,1,XGB,6.970715521897924e-09,8.867309287259272e-17,0.5961661639999658
TFSI Diffusivity,2,Linear,7.03694555933071e-09,9.126337639023506e-17,0.6367454495439643
TFSI Diffusivity,2,RF,6.7028607394958e-09,8.13015770192975e-17,0.6763962831571104
TFSI Diffusivity,2,XGB,6.958750345849476e-09,8.579891101284279e-17,0.6584955972226949
TFSI Diffusivity,3,Linear,6.971294681804557e-09,8.364920281468979e-17,0.5933922311578236
TFSI Diffusivity,3,RF,6.749321344537814e-09,8.106714076565781e-17,0.6059432950465589
TFSI Diffusivity,3,XGB,6.8264092961163366e-09,8.31575106422549e-17,0.5957822821142423
TFSI Diffusivity,4,Linear,7.4091529793562134e-09,1.3391192280776453e-16,0.45575261733719175
TFSI Diffusivity,4,RF,6.8029921008403375e-09,9.066165398155363e-17,0.6315311821922347
TFSI Diffusivity,4,XGB,7.041168636321882e-09,1.0398965515555988e-16,0.577363266423504
Li Diffusivity,0,Linear,4.18844074369486e-09,3.0006257330586724e-17,0.571900929597219
Li Diffusivity,0,RF,4.1956230588235296e-09,3.098756459984269e-17,0.5579006254233376
Li Diffusivity,0,XGB,4.493280222731423e-09,3.411503386975478e-17,0.5132810425006163
Li Diffusivity,1,Linear,4.416478535621794e-09,3.340161107060163e-17,0.47657208712678456
