target,split,model,acc,f1_macro,logloss
phase_label,0,LogReg,0.2912280701754386,0.19045911047345768,2.964046495801227
phase_label,0,RF,0.4105263157894737,0.16810344827586207,1.5338106149417912
phase_label,0,XGB,0.6175438596491228,0.19305785123966943,1.3506088497533226
phase_label,1,LogReg,0.07621009268795056,0.030011666384765174,5.012508879702786
phase_label,1,RF,0.5036045314109165,0.15475460120009882,4.171969881863074
phase_label,1,XGB,0.3110195674562307,0.1783559217542226,2.328454759069563
phase_label,2,LogReg,0.17100371747211895,0.06806418219461698,2.995827286646389
phase_label,2,RF,0.3308550185873606,0.0994413407821229,1.7573887635158114
phase_label,2,XGB,0.31970260223048325,0.15618128184499866,1.6332747351026096
phase_label,3,LogReg,0.24561403508771928,0.07205708343874682,6.260351042064976
phase_label,3,RF,0.2654970760233918,0.0572310268917103,3.626607285598019
phase_label,3,XGB,0.24444444444444444,0.07274784018970065,4.799793217151776
phase_label,4,LogReg,0.34532374100719426,0.15353535353535352,3.5846598115077737
phase_label,4,RF,0.38848920863309355,0.173326485190892,1.7829756513477937
phase_label,4,XGB,0.17266187050359713,0.10016931853285031,2.1712962187338354
