target,split,model,acc,f1_macro,logloss,roc_auc
phase_label,0,LogReg,0.4105263157894737,0.14054054054054055,2.2730387446108153,
phase_label,0,RF,0.4280701754385965,0.24302134646962234,1.1671866121056211,
phase_label,0,XGB,0.45964912280701753,0.2307630300099035,1.283317763322182,
phase_label,1,LogReg,0.07415036045314109,0.029390987875140218,3.3294793452693403,
phase_label,1,RF,0.537590113285273,0.17020227571271346,2.3601480134301447,
phase_label,1,XGB,0.45314109165808447,0.131689697139793,2.175645464034119,
phase_label,2,LogReg,0.3680297397769517,0.22863826232247283,2.279667782495227,
phase_label,2,RF,0.3308550185873606,0.0994413407821229,1.571141295205165,
phase_label,2,XGB,0.3048327137546468,0.18892158744375492,2.485643277214901,
phase_label,3,LogReg,0.025730994152046785,0.0104620544130895,5.521539284470106,
phase_label,3,RF,0.26783625730994154,0.08351400638587592,3.6665966258488556,
phase_label,3,XGB,0.26666666666666666,0.10008500445822172,4.893817901234398,
phase_label,4,LogReg,0.49640287769784175,0.22679894631114142,1.975901482711212,
phase_label,4,RF,0.381294964028777,0.15276650089651206,1.868086239417056,
phase_label,4,XGB,0.3597122302158273,0.1447089947089947,2.923862990817762,
