mae,rmse,r2,split,target
0.3734496533870697,0.48216027336857503,0.32176125049591064,0,EA vs SHE (eV)
0.36212781071662903,0.5035066128820228,0.2832648754119873,1,EA vs SHE (eV)
0.19154614210128784,0.31522760915763276,0.7461822032928467,2,EA vs SHE (eV)
0.17872776091098785,0.2804159141226236,0.7704471349716187,3,EA vs SHE (eV)
0.20628558099269867,0.3649799256160735,0.6281274557113647,4,EA vs SHE (eV)
0.23347987234592438,0.33142757514424515,0.419977605342865,0,IP vs SHE (eV)
0.30810636281967163,0.4266649926545166,0.3029283285140991,1,IP vs SHE (eV)
0.14663809537887573,0.23243081051615858,0.7666599154472351,2,IP vs SHE (eV)
0.15031693875789642,0.23290058332239563,0.7798599004745483,3,IP vs SHE (eV)
0.11620216816663742,0.18585957729589958,0.8506386876106262,4,IP vs SHE (eV)
