mae,rmse,r2,split,target
0.4204913973808288,0.5253957585080439,0.1946718096733093,0,EA vs SHE (eV)
0.3514533340930938,0.4913226961747914,0.317532479763031,1,EA vs SHE (eV)
0.2142976075410843,0.3215957963014872,0.7358235120773315,2,EA vs SHE (eV)
0.194107249379158,0.3008851454006506,0.7357110977172852,3,EA vs SHE (eV)
0.1997642368078231,0.342524718120095,0.672478437423706,4,EA vs SHE (eV)
0.2495935708284378,0.3339517030852998,0.4111091494560241,0,IP vs SHE (eV)
0.3045023679733276,0.4197476047586121,0.3253479599952698,1,IP vs SHE (eV)
0.1336584985256195,0.2130785383973094,0.8038983345031738,2,IP vs SHE (eV)
0.1614008396863937,0.2364752209230337,0.7730504274368286,3,IP vs SHE (eV)
0.1354622095823288,0.2165004920948373,0.7973316311836243,4,IP vs SHE (eV)
