mae,rmse,r2,split,target
0.030391976237297,0.0429567935412709,0.9951066374778748,0,EA vs SHE (eV)
0.030252868309617,0.0429774703583682,0.9951977729797364,1,EA vs SHE (eV)
0.0286610480397939,0.0425696915840095,0.994661808013916,2,EA vs SHE (eV)
0.0314567275345325,0.0461830284795825,0.9942716360092164,3,EA vs SHE (eV)
0.0298315938562154,0.0443554180049228,0.9945030212402344,4,EA vs SHE (eV)
0.0259082298725843,0.0359973721010726,0.9945541024208068,0,IP vs SHE (eV)
0.023503066971898,0.0328944970550785,0.9955723285675048,1,IP vs SHE (eV)
0.0238196328282356,0.0329655252253553,0.9952813386917114,2,IP vs SHE (eV)
0.0249082222580909,0.0346262405335525,0.994856595993042,3,IP vs SHE (eV)
0.0233475267887115,0.0318206122728683,0.9955317974090576,4,IP vs SHE (eV)
