mae,rmse,r2,split,target
0.2655103206634521,0.4283682598477601,0.464654266834259,0,EA vs SHE (eV)
0.3774197101593017,0.5351295186070101,0.1904081106185913,1,EA vs SHE (eV)
0.1328243166208267,0.2488876795501352,0.8417730927467346,2,EA vs SHE (eV)
0.1432152241468429,0.2680034876292242,0.7903193831443787,3,EA vs SHE (eV)
0.1757511794567108,0.3452295087103189,0.6672853231430054,4,EA vs SHE (eV)
0.181395411491394,0.3021495708106498,0.5179284811019897,0,IP vs SHE (eV)
0.2744084298610687,0.3936146957802861,0.4067386984825134,1,IP vs SHE (eV)
0.0954502001404762,0.1687160104499849,0.87705397605896,2,IP vs SHE (eV)
0.1067465394735336,0.1993394560805181,0.8387333750724792,3,IP vs SHE (eV)
0.0951879099011421,0.1764928137985234,0.8653140664100647,4,IP vs SHE (eV)
