mae,rmse,r2,split,target
0.030391976237297058,0.042956793541270945,0.9951066374778748,0,EA vs SHE (eV)
0.030252868309617043,0.042977470358368255,0.9951977729797363,1,EA vs SHE (eV)
0.028661048039793968,0.04256969158400955,0.994661808013916,2,EA vs SHE (eV)
0.03145672753453255,0.04618302847958259,0.9942716360092163,3,EA vs SHE (eV)
0.029831593856215477,0.0443554180049228,0.9945030212402344,4,EA vs SHE (eV)
0.025908229872584343,0.03599737210107265,0.9945541024208069,0,IP vs SHE (eV)
0.02350306697189808,0.03289449705507852,0.9955723285675049,1,IP vs SHE (eV)
0.023819632828235626,0.03296552522535537,0.9952813386917114,2,IP vs SHE (eV)
0.024908222258090973,0.03462624053355257,0.994856595993042,3,IP vs SHE (eV)
0.023347526788711548,0.031820612272868386,0.9955317974090576,4,IP vs SHE (eV)
