mae,rmse,r2,split,target
0.03982783481478691,0.0570363921793202,0.9913732409477234,0,EA vs SHE (eV)
0.039967361837625504,0.057852802775248104,0.9912981390953064,1,EA vs SHE (eV)
0.03692430257797241,0.05278295028160155,0.9917930960655212,2,EA vs SHE (eV)
0.038269106298685074,0.054286933064195894,0.9920848608016968,3,EA vs SHE (eV)
0.04102307930588722,0.05863168203876639,0.9903950095176697,4,EA vs SHE (eV)
0.030757317319512367,0.0429461118819939,0.9922486543655396,0,IP vs SHE (eV)
0.033505771309137344,0.04799120341010338,0.9905756711959839,1,IP vs SHE (eV)
0.030507832765579224,0.042190649711950454,0.9922708868980408,2,IP vs SHE (eV)
0.029080955311655998,0.0418295149053896,0.9924940466880798,3,IP vs SHE (eV)
0.031399115920066833,0.04434512574610273,0.9913222193717957,4,IP vs SHE (eV)
