mae,rmse,r2,split,target
0.3734496533870697,0.482160273368575,0.3217612504959106,0,EA vs SHE (eV)
0.362127810716629,0.5035066128820228,0.2832648754119873,1,EA vs SHE (eV)
0.1915461421012878,0.3152276091576327,0.7461822032928467,2,EA vs SHE (eV)
0.1787277609109878,0.2804159141226236,0.7704471349716187,3,EA vs SHE (eV)
0.2062855809926986,0.3649799256160735,0.6281274557113647,4,EA vs SHE (eV)
0.2334798723459243,0.3314275751442451,0.419977605342865,0,IP vs SHE (eV)
0.3081063628196716,0.4266649926545166,0.3029283285140991,1,IP vs SHE (eV)
0.1466380953788757,0.2324308105161585,0.7666599154472351,2,IP vs SHE (eV)
0.1503169387578964,0.2329005833223956,0.7798599004745483,3,IP vs SHE (eV)
0.1162021681666374,0.1858595772958995,0.8506386876106262,4,IP vs SHE (eV)
