mae,rmse,r2,split,target
0.12790200114250183,0.16745349677969093,0.9256411790847778,0,EA vs SHE (eV)
0.12976400554180145,0.17001630636505863,0.924847424030304,1,EA vs SHE (eV)
0.12157284468412399,0.160143776151986,0.9244537353515625,2,EA vs SHE (eV)
0.1256825029850006,0.16481077329905028,0.9270479679107666,3,EA vs SHE (eV)
0.12415936589241028,0.1616922435138411,0.9269516468048096,4,EA vs SHE (eV)
0.12582971155643463,0.16663930092100893,0.8832967281341553,0,IP vs SHE (eV)
0.12182474881410599,0.16039222104244213,0.8947327136993408,1,IP vs SHE (eV)
0.11727217584848404,0.15404712406830523,0.896960437297821,2,IP vs SHE (eV)
0.11874572187662125,0.15863546705995596,0.892045795917511,3,IP vs SHE (eV)
0.1209840178489685,0.15704667124774388,0.8911634087562561,4,IP vs SHE (eV)
