mae,rmse,r2,split,target
0.0483924075961113,0.0706666662728636,0.979012668132782,0,IP vs SHE (eV)
0.0443037189543247,0.066427497409769,0.9819439649581908,1,IP vs SHE (eV)
0.0437267050147056,0.0638878373351639,0.9822771549224854,2,IP vs SHE (eV)
0.045101948082447,0.067976427329766,0.980177640914917,3,IP vs SHE (eV)
0.0443374998867511,0.0641256378892213,0.9818540215492249,4,IP vs SHE (eV)
0.0528246872127056,0.0775453221463279,0.9840538501739502,0,EA vs SHE (eV)
0.0535739287734031,0.0767676062074946,0.9846779108047484,1,EA vs SHE (eV)
0.0511485263705253,0.0725067182985878,0.9845136404037476,2,EA vs SHE (eV)
0.0487210378050804,0.0700087975344489,0.9868364930152892,3,EA vs SHE (eV)
0.0467809326946735,0.0680707868537412,0.9870534539222716,4,EA vs SHE (eV)
