mae,rmse,r2,split,target
0.249965101480484,0.3943586821890644,0.5462856292724609,0,EA vs SHE (eV)
0.3740678131580353,0.5285078692378177,0.2103198170661926,1,EA vs SHE (eV)
0.1497126519680023,0.2696337850392485,0.8142956495285034,2,EA vs SHE (eV)
0.1310548335313797,0.2184187305146866,0.8607301712036133,3,EA vs SHE (eV)
0.1798591017723083,0.3459335895169132,0.6659268140792847,4,EA vs SHE (eV)
0.1919997632503509,0.3027289359311673,0.5160780549049377,0,IP vs SHE (eV)
0.2673986852169037,0.3972327212170324,0.3957823514938354,1,IP vs SHE (eV)
0.1117545068264007,0.1832521995097576,0.854955792427063,2,IP vs SHE (eV)
0.13385571539402,0.2382185024754102,0.7696920037269592,3,IP vs SHE (eV)
0.1256468892097473,0.2080962481127503,0.8127608299255371,4,IP vs SHE (eV)
