target,split,test/multiclass-accuracy,test/multiclass-f1,test/multiclass-roc
Class,0,0.9093255400657654,0.9165515303611756,0.9977338910102844
Class,1,0.9141497611999512,0.9152728319168092,0.9967798590660096
Class,2,0.9096033573150636,0.9247040748596193,0.9972236752510072
Class,3,0.9247273802757264,0.922863781452179,0.9980220794677734
Class,4,0.9001506567001343,0.8930391073226929,0.9978206753730774
