target,split,acc,f1_macro,logloss,roc_auc
Class,0,0.9884963023829088,0.985398424354364,0.0590675876361585,0.999540908814792
Class,1,0.9843878389482332,0.9757438920519366,0.1000730292106221,0.9989545927502228
Class,2,0.9843878389482332,0.9803256855326904,0.0784069915927026,0.9994153878093226
Class,3,0.9942481511914544,0.9832947343111528,0.0283714377984392,0.9998232051032548
Class,4,0.9852095316351684,0.9790328543637022,0.0589909663118367,0.9993194792299522
