split,target,test/multiclass-accuracy,test/multiclass-f1,test/multiclass-roc
0,phase_label,0.2729580402374267,0.2324616312980651,0.400243729352951
1,phase_label,0.1882417649030685,0.1494626700878143,0.4369618892669678
2,phase_label,0.1781255453824997,0.1661669909954071,0.4573926627635956
3,phase_label,0.2342991828918457,0.2131804376840591,0.5296474099159241
4,phase_label,0.4178749918937683,0.3879038095474243,0.4341257512569427
