target,split,test/mae,test/r2,test/rmse,model
homo,0,0.09520956291332872,0.9259480214776095,0.13132061568600217,Linear
homo,0,0.06747540148090869,0.9606698668809132,0.095703381964905,RF
homo,0,0.06847871668567052,0.9585995008295959,0.09819002389381908,XGB
homo,1,0.09041152251630052,0.9386449135792533,0.1288257847674972,Linear
homo,1,0.07325254512734115,0.9577231514047192,0.10693720133880541,RF
homo,1,0.07091181133253789,0.9595929420244445,0.10454568824920311,XGB
homo,2,0.08838010972788689,0.9170400457567632,0.14092508810225562,Linear
homo,2,0.07034245889236276,0.9586840642894153,0.09945184846498761,RF
homo,2,0.06794272906669878,0.961453883435768,0.09606039724429717,XGB
homo,3,0.09362794601454823,0.9302082056595189,0.13482638206013273,Linear
homo,3,0.06930994592783812,0.9594379958136445,0.10278562984796978,RF
homo,3,0.06432763044267673,0.9671806192621021,0.09245659386147127,XGB
homo,4,0.09184873650368515,0.931418569076703,0.13030320435929638,Linear
homo,4,0.07754928190884672,0.9494823037927222,0.11183393161569398,RF
homo,4,0.07328821889846218,0.9542219521926184,0.10645852848604073,XGB
