target,split,test/mae,test/r2,test/rmse,model
homo_extrapolated,0,0.1047873939723592,0.9229410686793709,0.1479250506569482,Linear
homo_extrapolated,0,0.09410362691563921,0.9353794706870115,0.13546137865274638,RF
homo_extrapolated,0,0.09323598811052071,0.9384689458231209,0.13218355068810128,XGB
homo_extrapolated,1,0.11031259973840819,0.9079000255868873,0.169690885815777,Linear
homo_extrapolated,1,0.09224264663924349,0.9365587176753283,0.1408363426182331,RF
homo_extrapolated,1,0.09198732837898001,0.9374051033807319,0.13989372203630412,XGB
homo_extrapolated,2,0.10463359628640746,0.9138949806364324,0.15500272199807907,Linear
homo_extrapolated,2,0.0894370322546644,0.9411389075824459,0.128156090220387,RF
homo_extrapolated,2,0.0902987037150184,0.9398820978958399,0.12951706639503682,XGB
homo_extrapolated,3,0.10557599978067125,0.9203876454035418,0.15887837643761135,Linear
homo_extrapolated,3,0.0945870220933046,0.9368581210061195,0.14149246400124296,RF
homo_extrapolated,3,0.0913727980887305,0.9430370619372955,0.13439117453367572,XGB
homo_extrapolated,4,0.10002389439608493,0.9280174088254415,0.1426382731118255,Linear
homo_extrapolated,4,0.09206322658708953,0.9350628660564517,0.1354780361688384,RF
homo_extrapolated,4,0.09080758006463736,0.9380527073448068,0.13232243971619867,XGB
