target,split,test/multiclass-accuracy,test/multiclass-f1,test/multiclass-roc
Class,0,0.9887464046478271,0.9832334518432616,0.999498963356018
Class,1,0.9771897792816162,0.9758387804031372,0.9993064999580384
Class,2,0.980093002319336,0.980164110660553,0.9996156692504884
Class,3,0.9802078008651732,0.9780296087265016,0.99965900182724
Class,4,0.9897474646568298,0.9914873838424684,0.9992780089378356
