target,split,test/mae,test/r2,test/rmse
homo,0,0.0482611842453479,0.978431761264801,0.0708716809749603
homo,1,0.04621547088027,0.9816354513168336,0.0704782530665397
homo,2,0.0479995869100093,0.935206174850464,0.124543972313404
homo,3,0.0435568466782569,0.9824377298355104,0.0676347687840461
homo,4,0.0481655001640319,0.9756803512573242,0.0775966420769691
lumo,0,0.040654007345438,0.9898309111595154,0.0585274621844291
lumo,1,0.0427254773676395,0.9896125197410583,0.060690514743328
lumo,2,0.0414401814341545,0.9873465299606324,0.0654494687914848
lumo,3,0.040474534034729,0.9895625114440918,0.0603460632264614
lumo,4,0.041067823767662,0.9893338680267334,0.0610694214701652
delta_optical_lumo,0,0.0467345602810382,0.8104106187820435,0.0655240938067436
delta_optical_lumo,1,0.0459380708634853,0.8170575499534607,0.0661816149950027
delta_optical_lumo,2,0.0466586388647556,0.7889975309371948,0.0711695179343223
delta_optical_lumo,3,0.045021403580904,0.8222763538360596,0.0636070221662521
delta_optical_lumo,4,0.0459686145186424,0.7846270799636841,0.0719498395919799
gap_extrapolated,0,0.0894971415400505,0.9061450958251952,0.1330063194036483
gap_extrapolated,1,0.0901492238044738,0.8903787732124329,0.1438226550817489
gap_extrapolated,2,0.0886931717395782,0.8819458484649658,0.1436932235956192
gap_extrapolated,3,0.0845066979527473,0.9177526831626892,0.1257320344448089
gap_extrapolated,4,0.085027277469635,0.9152848720550536,0.1246706172823906
optical_lumo,0,0.0491444058716297,0.980815589427948,0.0744976252317428
optical_lumo,1,0.050911322236061,0.981891632080078,0.0754765644669532
optical_lumo,2,0.0546445325016975,0.8597121238708496,0.2033359408378601
optical_lumo,3,0.0482452660799026,0.9808719754219056,0.077520802617073
optical_lumo,4,0.0500405952334404,0.9810521006584167,0.0762836039066314
gap,0,0.0519795231521129,0.9671701788902284,0.0780280381441116
gap,1,0.0538782365620136,0.9627591967582704,0.0851656943559646
gap,2,0.0515249110758304,0.9631339311599731,0.0827874690294265
gap,3,0.0482740625739097,0.9608861207962036,0.0868208482861518
gap,4,0.0527629479765892,0.9721016883850098,0.0760666504502296
spectral_overlap,0,138.49658203125,0.971785306930542,225.47496032714844
spectral_overlap,1,139.56222534179688,0.97166907787323,214.48387145996097
spectral_overlap,2,140.17884826660156,0.9683676958084106,234.0694580078125
spectral_overlap,3,126.97362518310548,0.9779011011123656,198.31442260742188
spectral_overlap,4,139.4732666015625,0.9763559699058532,210.63970947265625
homo_extrapolated,0,0.0757012367248535,0.9571003317832948,0.110371321439743
homo_extrapolated,1,0.0779397785663604,0.942267119884491,0.1343507617712021
homo_extrapolated,2,0.0748669356107711,0.9104788303375244,0.1580466479063034
homo_extrapolated,3,0.0714803412556648,0.9588350057601928,0.1142447218298912
homo_extrapolated,4,0.0739152282476425,0.9553221464157104,0.1123759970068931
