target,split,test/accuracy,test/f1,test/roc_auc,model
Class,0,0.9860197368421053,0.9773097961086437,0.9985984273447478,LogReg
Class,0,0.9810855263157895,0.9661668848162102,0.9997980517026029,RF
Class,0,0.9851973684210527,0.9721447515916921,0.9998186323039434,XGB
Class,1,0.9786184210526315,0.9659131317608083,0.9992557223076994,LogReg
Class,1,0.9827302631578947,0.9791373928835718,0.9996980017482289,RF
Class,1,0.975328947368421,0.964786766994032,0.999603071536038,XGB
Class,2,0.9819078947368421,0.9737868013708756,0.9995740912741334,LogReg
Class,2,0.9860197368421053,0.9787238246919839,0.999737882581508,RF
Class,2,0.9827302631578947,0.9747072558389197,0.9996997363784921,XGB
Class,3,0.9827302631578947,0.9608604934548444,0.9992725793856779,LogReg
Class,3,0.984375,0.9627534945034053,0.9999388337655526,RF
Class,3,0.9786184210526315,0.9647016526917647,0.9997516915124247,XGB
Class,4,0.9802631578947368,0.9686344515775034,0.998999884427211,LogReg
Class,4,0.9860197368421053,0.9627950618714574,0.9994575057697794,RF
Class,4,0.984375,0.9553780162099036,0.9996875035567294,XGB
