target,split,test/mae,test/r2,test/rmse,model
Conductivity,0,1.792000895310262e-05,0.5368224269225336,2.347217076154016e-05,Linear
TFSI Diffusivity,0,7.0817036778346516e-09,0.6066710005989346,9.401255598864216e-09,Linear
Li Diffusivity,0,4.565590290835981e-09,0.4784728513770701,6.046056938447279e-09,Linear
Poly Diffusivity,0,4.334463785042892e-09,0.7473368710669389,5.7975829228157575e-09,Linear
Transference Number,0,0.17003139722704072,0.33396080020739516,0.21908923135717834,Linear
Conductivity,0,1.5302711092436975e-05,0.6440097167845267,2.0577782218950596e-05,RF
TFSI Diffusivity,0,6.847657983193277e-09,0.6439668111935186,8.944439249787442e-09,RF
Li Diffusivity,0,4.33963025210084e-09,0.5471522443664472,5.6339097037808155e-09,RF
Poly Diffusivity,0,3.7047259831932767e-09,0.7991280504780159,5.169346946565465e-09,RF
Transference Number,0,0.16525385050084032,0.364695780499918,0.21397449320144318,RF
Conductivity,0,1.7014223707225253e-05,0.5599337903415216,2.287907731766432e-05,XGB
TFSI Diffusivity,0,7.153581010959927e-09,0.601587067222099,9.461818008244043e-09,XGB
Li Diffusivity,0,4.591202107786174e-09,0.4708823448615377,6.0898963187974316e-09,XGB
Poly Diffusivity,0,3.993843442650873e-09,0.7752292122211923,5.468219860266483e-09,XGB
Transference Number,0,0.17752892164446848,0.27260735846201634,0.22895787632767148,XGB
Conductivity,1,1.4431787549324037e-05,0.6804336826790404,1.9480091500497578e-05,Linear
TFSI Diffusivity,1,7.070071856698572e-09,0.5816973260017427,9.583847545586656e-09,Linear
Li Diffusivity,1,4.627226319710888e-09,0.42767421588440546,6.043338547474773e-09,Linear
Poly Diffusivity,1,4.358302766278425e-09,0.7147648186922269,5.8937416582345616e-09,Linear
Transference Number,1,0.17435380684388663,0.39059342817572984,0.2269749166441852,Linear
Conductivity,1,1.4534819764705882e-05,0.6896550677741642,1.919697602615691e-05,RF
TFSI Diffusivity,1,6.5490753277310915e-09,0.6507246879936053,8.757467228719928e-09,RF
Li Diffusivity,1,4.4042231932773105e-09,0.5032316989195982,5.630308684378465e-09,RF
Poly Diffusivity,1,3.7072818151260507e-09,0.7854409541796408,5.111671832293046e-09,RF
Transference Number,1,0.1702415649983193,0.4095388208362917,0.2234189329839375,RF
Conductivity,1,1.5765770103896992e-05,0.6271653758406663,2.104110832384981e-05,XGB
TFSI Diffusivity,1,6.853524657537872e-09,0.6290870283672331,9.024654556735587e-09,XGB
Li Diffusivity,1,4.631703831043141e-09,0.4339509656672985,6.010108260122019e-09,XGB
