target,split,test/mae,test/r2,test/rmse,model
delta_optical_lumo,0,0.06505484435719114,0.6736641386969968,0.08596594441357568,Linear
delta_optical_lumo,0,0.0449142123461808,0.8268417046098816,0.06262037858440038,RF
delta_optical_lumo,0,0.04406964750993415,0.8269316920283719,0.06260410509747129,XGB
delta_optical_lumo,1,0.06425692838597984,0.705548475437789,0.08396281069217473,Linear
delta_optical_lumo,1,0.04353938283708029,0.8325602860507058,0.06331539220043413,RF
delta_optical_lumo,1,0.042361340321550985,0.8450781458536407,0.06090268052456237,XGB
delta_optical_lumo,2,0.06371385609705565,0.6641575791970313,0.0897879486136082,Linear
delta_optical_lumo,2,0.044894673601476684,0.805670342911129,0.06829986034210314,RF
delta_optical_lumo,2,0.04494044312445557,0.8025348053274088,0.06884866956469503,XGB
delta_optical_lumo,3,0.0603220367560632,0.7222601502115047,0.07951544416746725,Linear
delta_optical_lumo,3,0.04282829357194947,0.8332592768781326,0.061610286931005655,RF
delta_optical_lumo,3,0.042552079996291146,0.8397931352326098,0.06039110161343424,XGB
delta_optical_lumo,4,0.06255663249639204,0.6785104147002661,0.08790583387457535,Linear
delta_optical_lumo,4,0.04567990643882538,0.795324449649253,0.07014023670709377,RF
delta_optical_lumo,4,0.043974678430437224,0.8041482927434689,0.06861165964951867,XGB
