target,split,test/mae,test/r2,test/rmse
gap,0,0.0357435010373592,0.9829254150390624,0.0562726780772209
gap,1,0.0363000370562076,0.9805847406387328,0.0614933893084526
gap,2,0.0340671837329864,0.984857976436615,0.0530561618506908
gap,3,0.0338371284306049,0.980116069316864,0.0619024224579334
gap,4,0.0366829186677932,0.9831038117408752,0.0591963194310665
spectral_overlap,0,95.4863510131836,0.9841123819351196,169.19598388671875
spectral_overlap,1,106.24748992919922,0.979604959487915,181.9810028076172
spectral_overlap,2,96.94873809814452,0.9855005741119384,158.47288513183594
spectral_overlap,3,107.93891143798828,0.9839403033256532,169.05877685546875
spectral_overlap,4,103.45045471191406,0.9836068749427797,175.3924102783203
lumo,0,0.0274019949138164,0.9948026537895204,0.0418417155742645
lumo,1,0.0291793141514062,0.9939042925834656,0.0464918315410614
lumo,2,0.0299139842391014,0.9935932755470276,0.0465712808072567
lumo,3,0.0286588296294212,0.9943249821662904,0.0444973595440387
lumo,4,0.0292097385972738,0.992845892906189,0.0500146299600601
homo,0,0.031193533912301,0.9898945093154908,0.0485119111835956
homo,1,0.032526709139347,0.9889196157455444,0.0547442808747291
homo,2,0.0300417672842741,0.9911181926727296,0.0461112335324287
homo,3,0.0310453455895185,0.989443838596344,0.0524341128766536
homo,4,0.032436802983284,0.9842261075973512,0.0624955967068672
optical_lumo,0,0.0317688956856727,0.9918702840805054,0.0484964028000831
optical_lumo,1,0.0350140407681465,0.9895594716072084,0.0573108159005641
optical_lumo,2,0.0325008518993854,0.9917302131652832,0.0493683405220508
optical_lumo,3,0.0321840867400169,0.9919584393501282,0.0502641014754772
optical_lumo,4,0.0333255641162395,0.989551305770874,0.0566473379731178
