target,split,test/mae,test/r2,test/rmse
TFSI Diffusivity,0,6.2217662133434715e-09,1.0,8.460784961528134e-09
TFSI Diffusivity,1,6.455551204709309e-09,1.0,8.86733886318325e-09
TFSI Diffusivity,2,6.35389829639621e-09,1.0,8.68829364009116e-09
TFSI Diffusivity,3,6.197149016173853e-09,1.0,8.400572681921403e-09
TFSI Diffusivity,4,6.799600882345658e-09,1.0,9.589066429782633e-09
