test/mae,test/rmse,test/r2,split,target
0.0680796056985855,0.1055692508816719,0.9674856662750244,0,EA vs SHE (eV)
0.0653432831168174,0.1117985621094703,0.9646637439727784,1,EA vs SHE (eV)
0.0458082146942615,0.0785438865423202,0.9842420816421508,2,EA vs SHE (eV)
0.0448117218911647,0.0815402194857597,0.9805902242660522,3,EA vs SHE (eV)
0.0411905907094478,0.0663225650787353,0.987720549106598,4,EA vs SHE (eV)
0.0475724078714847,0.078565239906311,0.967406690120697,0,IP vs SHE (eV)
0.0471348874270916,0.0961158797144889,0.9646252393722534,1,IP vs SHE (eV)
0.0350127592682838,0.0566423684358596,0.9861425161361694,2,IP vs SHE (eV)
0.0397405363619327,0.0708435028791427,0.9796315431594848,3,IP vs SHE (eV)
0.0301467087119817,0.0496881008148193,0.9893248677253724,4,IP vs SHE (eV)
