target,split,test/mae,test/r2,test/rmse
delta_optical_lumo,0,0.0564360581338405,0.737452507019043,0.077107734978199
delta_optical_lumo,1,0.0531361065804958,0.7647478580474854,0.075049340724945
delta_optical_lumo,2,0.056974109262228,0.6251420378684998,0.0948601216077804
delta_optical_lumo,3,0.0538133271038532,0.753734827041626,0.0748744904994964
delta_optical_lumo,4,0.0544298067688941,0.7295432090759277,0.0806275010108947
optical_lumo,0,0.0655536651611328,0.9693083167076112,0.0942276194691658
optical_lumo,1,0.0644905492663383,0.968901753425598,0.0989100486040115
optical_lumo,2,0.0634189248085022,0.9663434028625488,0.0995953604578971
optical_lumo,3,0.0606390759348869,0.9700499773025512,0.0970022529363632
optical_lumo,4,0.0657372549176216,0.9676529169082642,0.0996708795428276
lumo,0,0.0552269890904426,0.9816448092460632,0.0786318406462669
lumo,1,0.0529523491859436,0.9834432601928712,0.0766218900680542
lumo,2,0.0529683604836463,0.9837092161178588,0.0742629691958427
lumo,3,0.054646361619234,0.9834356904029846,0.0760217010974884
lumo,4,0.0523635670542717,0.9814329147338868,0.0805734246969223
homo_extrapolated,0,0.0859959572553634,0.9457373023033142,0.124130941927433
homo_extrapolated,1,0.0901142284274101,0.9214056730270386,0.1567559987306594
homo_extrapolated,2,0.0912165641784668,0.7987783551216125,0.2369516193866729
homo_extrapolated,3,0.0851213112473487,0.9482751488685608,0.1280624270439148
homo_extrapolated,4,0.0840237736701965,0.9461371302604676,0.1233877465128898
gap_extrapolated,0,0.1059584021568298,0.875235915184021,0.1533517092466354
gap_extrapolated,1,0.1087862178683281,0.8435109853744507,0.1718390733003616
gap_extrapolated,2,0.1106240451335907,0.8263809084892273,0.1742586940526962
gap_extrapolated,3,0.1076565906405448,0.8746874928474426,0.1551966071128845
gap_extrapolated,4,0.0998648405075073,0.8873865604400635,0.1437403857707977
homo,0,0.0575889237225055,0.9708105325698853,0.082447662949562
homo,1,0.0578609220683574,0.9740964770317078,0.0837036222219467
homo,2,0.0576472282409668,0.9478096961975098,0.11177659034729
homo,3,0.0547903217375278,0.974531590938568,0.0814480036497116
homo,4,0.0562765225768089,0.969253957271576,0.087248645722866
spectral_overlap,0,177.48989868164062,0.9580005407333374,275.0948181152344
spectral_overlap,1,170.65672302246094,0.9559164047241212,267.54852294921875
spectral_overlap,2,163.32305908203125,0.9552881121635436,278.28570556640625
spectral_overlap,3,158.3018341064453,0.9669274687767028,242.6066131591797
spectral_overlap,4,168.86529541015625,0.9650669693946838,256.03411865234375
gap,0,0.0670949444174766,0.9487680196762084,0.0974735766649246
gap,1,0.067334271967411,0.9410070180892944,0.1071902588009834
gap,2,0.0667826756834983,0.9257377982139589,0.1174992769956588
gap,3,0.0638811141252517,0.9435259699821472,0.1043236553668975
gap,4,0.0708362609148025,0.9512327313423156,0.1005702167749404
