test/multiclass-accuracy,test/multiclass-f1,test/multiclass-roc,split,target
0.05875178426504135,0.04584658890962601,0.33896562457084656,0,phase_label
0.026534302160143852,0.029759082943201065,0.33454692363739014,1,phase_label
0.0007905138190835714,0.0015451970975846052,0.27038392424583435,2,phase_label
0.10868410021066666,0.06370466947555542,0.2702147364616394,3,phase_label
0.13628479838371277,0.10367187857627869,0.24306830763816833,4,phase_label
