split,test/multiclass-accuracy,test/multiclass-f1,test/multiclass-roc
0,0.9188153743743896,0.9318007230758667,0.9966198205947876
1,0.9227306842803955,0.9307583570480347,0.9987028241157532
2,0.9358673095703125,0.9401378035545349,0.9976817965507507
3,0.9262771606445312,0.9216184616088867,0.9977985620498657
4,0.9344543218612671,0.9436759948730469,0.9948736429214478
