target,split,test/mae,test/r2,test/rmse,model
bandgap_chain,0,0.4510171560661556,0.8134115747648363,0.6290984085233499,Linear
bandgap_chain,0,0.35931893026634354,0.8619795192532433,0.5410632099679457,RF
bandgap_chain,0,0.3890005369384987,0.8435025775442246,0.5761423919713846,XGB
bandgap_chain,1,0.32444780967795533,0.9078035066281661,0.4290279436243831,Linear
bandgap_chain,1,0.2591830726392252,0.9343199687845782,0.36211378120723087,RF
bandgap_chain,1,0.27967133534941774,0.9234908926698673,0.390827347851436,XGB
bandgap_chain,2,0.3613742555761453,0.8942691629261492,0.47312621514495473,Linear
bandgap_chain,2,0.2733272653753029,0.930361355616361,0.3839735695611232,RF
bandgap_chain,2,0.29562252510200115,0.9235379873788906,0.40234539925951934,XGB
bandgap_chain,3,0.34704802380901273,0.8918247117924011,0.4688666604865987,Linear
bandgap_chain,3,0.2581962411622275,0.9306927078522865,0.37529673637640015,RF
bandgap_chain,3,0.2763502160864361,0.9197230253600498,0.40390647995039297,XGB
bandgap_chain,4,0.35168822447093295,0.873866123064646,0.5117029406086807,Linear
bandgap_chain,4,0.2819113118644068,0.904442944527957,0.44538277800144493,RF
bandgap_chain,4,0.3134935699158084,0.8959184147657483,0.4648244771910796,XGB
