split,test/mae,test/r2,test/rmse
0,0.3633977472782135,0.8646495342254639,0.5358037352561951
1,0.31381291151046753,0.9045159816741943,0.4366101622581482
2,0.33454957604408264,0.887107253074646,0.48888763785362244
3,0.3304228186607361,0.8897162675857544,0.47341421246528625
4,0.36372819542884827,0.8545279502868652,0.5495301485061646
