split,test/mae,test/r2,test/rmse
0,0.39990922808647156,0.8358235955238342,0.5901075601577759
1,0.33250492811203003,0.8958057761192322,0.4560898244380951
2,0.3357976973056793,0.8867065906524658,0.48975440859794617
3,0.36770373582839966,0.8628702163696289,0.5278997421264648
4,0.3723512291908264,0.8629738688468933,0.5333390831947327
