target,split,test/multiclass-accuracy,test/multiclass-f1,test/multiclass-roc
Class,0,0.9270436763763428,0.9270670413970948,0.9994293451309204
Class,1,0.9742358922958374,0.973922073841095,0.9992439150810242
Class,2,0.9616097807884216,0.9670252799987792,0.9992341995239258
Class,3,0.9738651514053344,0.9680379629135132,0.9995487332344056
Class,4,0.9727596044540404,0.9734762907028198,0.9990658164024352
