target,split,test/accuracy,test/f1,test/roc_auc,model
Class,0,0.9243421052631579,0.8819730018786902,0.9905603690568346,LogReg
Class,0,0.9259868421052632,0.9016298792284356,0.9973378306724227,RF
Class,0,0.9473684210526315,0.9314000250511872,0.9980972044024231,XGB
Class,1,0.9111842105263158,0.8881317899513543,0.9918740481004902,LogReg
Class,1,0.930921052631579,0.9192608695912542,0.9976229466391594,RF
Class,1,0.9432565789473685,0.9266693951323095,0.9982696655100758,XGB
Class,2,0.9226973684210527,0.9006389027486474,0.9880152602096597,LogReg
Class,2,0.9268092105263158,0.8992381044658435,0.9972157909305303,RF
Class,2,0.9325657894736842,0.9113272734346385,0.9975890693053907,XGB
Class,3,0.9169407894736842,0.8739275772932293,0.9872756218998339,LogReg
Class,3,0.928453947368421,0.889586723793921,0.9973001677911594,RF
Class,3,0.9457236842105263,0.9290174461840974,0.9976634751596125,XGB
Class,4,0.9259868421052632,0.8968535245513468,0.993305052238273,LogReg
Class,4,0.928453947368421,0.8993377728875782,0.9977075902092107,RF
Class,4,0.9473684210526315,0.9347027854692836,0.9987062154264852,XGB
