target,split,test/mae,test/r2,test/rmse,model
TC,0,0.0325450591294827,0.5011623651178028,0.050483489679917004,Linear
TC,0,0.020700029034274866,0.7554732645998985,0.03534540294790747,RF
TC,0,0.021342773928397875,0.746758477148878,0.03596973352615313,XGB
TC,1,0.02960131463257783,0.5425064483881437,0.042127147234799954,Linear
TC,1,0.0148213275023619,0.8610449750775802,0.023217031482101975,RF
TC,1,0.01748375399119141,0.7635945480356972,0.030282958824794332,XGB
TC,2,0.025945795909460577,0.6951338473490023,0.03994848388473445,Linear
TC,2,0.015495873396390471,0.874165469154772,0.025665256785090556,RF
TC,2,0.01757019865267588,0.8698420660377525,0.026102434811484793,XGB
TC,3,0.024427292813475998,0.6960584943519148,0.03471478381145911,Linear
TC,3,0.014620039798104762,0.8734116571496349,0.022403522981851706,RF
TC,3,0.016142329761903038,0.8643687572960864,0.023189924260589287,XGB
TC,4,0.027077331432255103,0.6435968283422429,0.03579088225230284,Linear
TC,4,0.01523801495938097,0.8581777726575689,0.022577392065516375,RF
TC,4,0.017873890001981734,0.8063024701386234,0.02638539894516078,XGB
