target,split,model,acc,f1_macro,logloss
Class,0,LogReg,0.6926869350862778,0.6124661048357215,0.977149300386839
Class,0,RF,0.828266228430567,0.7995855074230047,0.6899213481110211
Class,0,XGB,0.8323746918652424,0.7964748228599089,0.5463924962124441
Class,1,LogReg,0.7156943303204601,0.6258417555342803,0.9748336655043215
Class,1,RF,0.8233360723089564,0.7838278682060404,0.6638309217816869
Class,1,XGB,0.8405916187345933,0.8044319539956509,0.5364144888075392
Class,2,LogReg,0.7222678718159409,0.6543172887548003,1.0150389126293902
Class,2,RF,0.8200493015612161,0.7906972615357332,0.6826511804845056
Class,2,XGB,0.8307313064913723,0.8016935210861398,0.5723746249204159
Class,3,LogReg,0.6902218570254725,0.634561940705563,1.0237376453855855
Class,3,RF,0.8274445357436319,0.7941687762401021,0.6727741545322219
Class,3,XGB,0.8373048479868529,0.8157451469939667,0.544779509234162
Class,4,LogReg,0.7082990961380444,0.6465041797598114,0.9680766093802653
Class,4,RF,0.8307313064913723,0.793547915084769,0.6886922413069042
Class,4,XGB,0.8463434675431388,0.8119836822429773,0.5023815210919207
