target,split,model,mae,r2,rmse
bandgap_chain,0,Linear,0.4667157276427875,0.7979950130349633,0.4284642238715214
bandgap_chain,0,RF,0.38103528451746804,0.856154548836993,0.30510449527008
bandgap_chain,0,XGB,0.4038150223295568,0.8330611930588738,0.3540868343138848
bandgap_chain,1,Linear,0.44808638854710814,0.832509644418301,0.334384825513995
bandgap_chain,1,RF,0.3520732670782889,0.8863457872835221,0.22690407430409973
bandgap_chain,1,XGB,0.3597762995408176,0.8760960207246007,0.24736714150854144
bandgap_chain,2,Linear,0.43995906572671856,0.8103832506464886,0.4014477711674347
bandgap_chain,2,RF,0.3734385192217228,0.874877198978977,0.264904180476533
bandgap_chain,2,XGB,0.3911292381776158,0.8588812078918211,0.2987701495507149
bandgap_chain,3,Linear,0.4272973633644754,0.8274447277132698,0.35067021341870047
bandgap_chain,3,RF,0.3327152820027672,0.8895421293805073,0.22447465412444226
bandgap_chain,3,XGB,0.3549835682732718,0.8754264259787836,0.25316086381737074
bandgap_chain,4,Linear,0.4611639897420444,0.7675564458669305,0.48252696512280774
bandgap_chain,4,RF,0.36414155636803874,0.8542497197064564,0.30256137098807434
bandgap_chain,4,XGB,0.3728105483739775,0.8511001167522803,0.30909959641010676
