mae,rmse,r2
1.4861880117678083e-05,2.025142708138601e-05,0.6552123863775547
1.6090045392047614e-05,2.1688984361938498e-05,0.6038525987406228
1.545750092191156e-05,2.0754337498018412e-05,0.6932084202366783
1.5559671737719327e-05,2.092450030298658e-05,0.6424517456826522
1.6258178220596164e-05,2.2570230121346108e-05,0.5900299668178386
6.133826779830542e-09,8.306000386093218e-09,0.9637921672664029
6.565227916865979e-09,8.936885055868194e-09,0.9579697946836695
6.476227554230718e-09,8.667713357791377e-09,0.9611114175219104
6.674484520630131e-09,8.870822115212182e-09,0.9582847655449684
6.294472054690914e-09,8.970249926815019e-09,0.9582371589050916
4.20772616749332e-09,5.486524055814345e-09,0.982806396706713
4.5022927608329155e-09,5.725715497835979e-09,0.9812071698570638
4.1405852080345085e-09,5.222111236549365e-09,0.9844230979899903
4.506705675311196e-09,5.800062995748386e-09,0.9807484695231571
4.39609859625989e-09,5.831565701517983e-09,0.9805927417849515
2.9928615141727732e-09,4.199985873109811e-09,0.9902741068985049
3.3480280769992987e-09,4.805119681782538e-09,0.9871901380719016
3.2214810818942397e-09,4.400205674804738e-09,0.9893950278942958
3.2406171079912838e-09,4.351771439108001e-09,0.9894902158829055
3.1120057641942367e-09,4.50613186207989e-09,0.9887367255607395
0.16012169420719147,0.2068153821404856,0.40649635036496345
0.16818183660507202,0.22084415622197187,0.42306987001896745
0.1552281230688095,0.20695695803683045,0.46355410921389184
0.1641843467950821,0.21917436513385655,0.477798295998048
0.15708157420158386,0.21233315053313884,0.38372019041676453
