target,split,MAE,R2,RMSE
delta_lumo,0,0.06579846143722534,0.6704923464453625,0.08661518517591146
delta_lumo,1,0.06929604709148407,0.6383415834320472,0.09219471975924245
delta_lumo,2,0.06439436227083206,0.6665627914955368,0.08766732725148305
delta_lumo,3,0.06542666256427765,0.6474937309345699,0.08872637229362294
delta_lumo,4,0.06618969142436981,0.6631879858520817,0.09005199016847897
