mae,rmse,r2,target,split
0.0784518718719482,0.103422338809437,0.5276753298024013,delta_optical_lumo,0
0.075768381357193,0.1013577809682575,0.5709043910912117,delta_optical_lumo,1
0.0757589265704155,0.1046889360172792,0.5434366636933301,delta_optical_lumo,2
0.0722294598817825,0.0950935716313956,0.6027741381643064,delta_optical_lumo,3
0.0767079964280128,0.1038727313667866,0.5511154688005839,delta_optical_lumo,4
0.1230848655104637,0.1689775248782357,0.901299223896616,optical_lumo,0
0.1272564828395843,0.1812039736153626,0.8956258795944119,optical_lumo,1
0.1138181239366531,0.1581311768712519,0.9151537041238278,optical_lumo,2
0.1275358945131302,0.1833105236100396,0.8930439663718297,optical_lumo,3
0.1152624413371086,0.1575889557391532,0.9191363667811188,optical_lumo,4
0.1134515702724456,0.1604127980721504,0.8612493182486147,gap,0
0.134422093629837,0.1889691709668615,0.8166553182777698,gap,1
0.1142258420586586,0.161957842311437,0.858909099740482,gap,2
0.1249526962637901,0.1823614032506075,0.8274364721839769,gap,3
0.1169703677296638,0.1605846270148407,0.8756638166140251,gap,4
0.1266842484474182,0.1779546002095657,0.8884786649172878,homo_extrapolated,0
0.1492462009191513,0.2172010280320477,0.8491079984189547,homo_extrapolated,1
0.1367063373327255,0.1879695040750321,0.873373506542666,homo_extrapolated,2
0.1507342457771301,0.2194371160777098,0.848130319760941,homo_extrapolated,3
0.1318220049142837,0.1825706096142185,0.8820719665406404,homo_extrapolated,4
0.1706658452749252,0.2295959400453137,0.720332647648706,gap_extrapolated,0
0.1856615841388702,0.2584139858881999,0.6461086366940949,gap_extrapolated,1
0.1570310443639755,0.2299710978483914,0.6976175682615708,gap_extrapolated,2
0.1860162317752838,0.2587337074817151,0.6517153967601628,gap_extrapolated,3
0.1620373725891113,0.2238383535474626,0.726912489635601,gap_extrapolated,4
