target,split,MAE,R2,RMSE
homo,0,0.0395872108638286,0.9845813859896918,0.0599221272475691
homo,1,0.0377334095537662,0.9876868869047816,0.0577113808078711
homo,2,0.036981675773859,0.9875369045930154,0.0546219253785004
homo,3,0.0364995710551738,0.9856714314674708,0.0610905586565264
homo,4,0.0395039282739162,0.9791394662799644,0.0718645163333154
gap_extrapolated,0,0.071142740547657,0.939543985935526,0.1067488175660003
gap_extrapolated,1,0.0743515789508819,0.921381013010425,0.1217992863774241
gap_extrapolated,2,0.0765827372670173,0.9155544543649567,0.1215299586732392
gap_extrapolated,3,0.0741051733493805,0.9324622366662716,0.113935541833204
gap_extrapolated,4,0.0683236494660377,0.9420853418491228,0.1030808124735447
lumo,0,0.0312066618353128,0.9939381580177916,0.0451878134218996
lumo,1,0.0360790863633155,0.9925096073234888,0.0515368712194891
lumo,2,0.0320598259568214,0.9927107824856166,0.0496754980961867
lumo,3,0.0345065519213676,0.9929889704300674,0.0494586667877414
lumo,4,0.033715259283781,0.9919584430161368,0.053026149360455
optical_lumo,0,0.0441716685891151,0.9865002414032172,0.0624930407702754
optical_lumo,1,0.0408802740275859,0.9881434440102174,0.0610731864704109
optical_lumo,2,0.0388743989169597,0.9883619041151532,0.0585655223881768
optical_lumo,3,0.0374225713312625,0.9907943467691812,0.053778919632882
optical_lumo,4,0.040251038968563,0.9861989770440984,0.0651035686306506
spectral_overlap,0,112.34262084960938,0.9807727598499189,186.13123310583853
spectral_overlap,1,117.25155639648438,0.9762609722162592,196.33402858712495
spectral_overlap,2,116.22501373291016,0.98018709920776,185.2479862407416
spectral_overlap,3,118.18253326416016,0.9800981899861532,188.19810664230923
spectral_overlap,4,121.71172332763672,0.9802037207041796,192.7398059885399
homo_extrapolated,0,0.0632658079266548,0.9659813860772316,0.0982852941705929
homo_extrapolated,1,0.0663697347044944,0.9581103480097396,0.114441129557096
homo_extrapolated,2,0.0665262714028358,0.9649489500839192,0.0988952902285493
homo_extrapolated,3,0.0659042373299598,0.9668976019415596,0.1024481870227162
homo_extrapolated,4,0.066267117857933,0.9613451513421908,0.1045259973606152
delta_optical_lumo,0,0.0386982262134552,0.8638477520622168,0.0555272847918969
delta_optical_lumo,1,0.0410953424870967,0.8472820843736212,0.06046792235535
delta_optical_lumo,2,0.0386081598699092,0.8573246489123647,0.058522751629479
delta_optical_lumo,3,0.0389690250158309,0.8692391003063673,0.054559619858819
delta_optical_lumo,4,0.0398113764822483,0.8357423102528566,0.0628343445835541
gap,0,0.0461817011237144,0.975594726739077,0.0672764837602859
gap,1,0.0511038936674594,0.958251847663462,0.0901727715878819
gap,2,0.0418721996247768,0.9787591084089028,0.0628403879109957
gap,3,0.0475802160799503,0.9639941829241888,0.0832999530138384
gap,4,0.0452820025384426,0.9784147200957216,0.0669089218309505
