mae,rmse,r2,target,split
0.0318087004125118,0.0454093358775862,0.99387857879577,lumo,
0.034905195236206,0.0518421933769375,0.992420593184928,lumo,
0.0329403728246688,0.049188518890179,0.9928529975017256,lumo,
0.0324502177536487,0.0476942981421528,0.9934802649388326,lumo,
0.033333521336317,0.0534489331820815,0.991829699058288,lumo,
0.0776822194457054,0.1191139425822867,0.9247271162755434,gap_extrapolated,
0.0758144855499267,0.1217924273891891,0.9213898667901173,gap_extrapolated,
0.072881668806076,0.1204161412777323,0.917095245589996,gap_extrapolated,
0.0724439546465873,0.1131212156410974,0.9334242054410936,gap_extrapolated,
0.0726059228181839,0.1072658098723505,0.9372873068401952,gap_extrapolated,
0.0426011160016059,0.0636046730731576,0.9860156996865496,optical_lumo,0.0
0.0420574620366096,0.0608820769402502,0.9882175302138196,optical_lumo,1.0
0.040514800697565,0.0594918210762847,0.9879908460379618,optical_lumo,2.0
0.0402336828410625,0.058164970802045,0.9892315420258864,optical_lumo,3.0
0.043232262134552,0.0688110247346884,0.9845823655391436,optical_lumo,4.0
113.17369079589844,189.1941999969872,0.980134747470626,spectral_overlap,
117.31553649902344,198.36009317022413,0.9757684949784076,spectral_overlap,
110.08106994628906,181.41587237615124,0.980998334973598,spectral_overlap,
103.27136993408205,168.22898155304574,0.984097562703252,spectral_overlap,
108.68706512451172,175.19212667811303,0.9836442704970207,spectral_overlap,
0.0654662102460861,0.1000500170226085,0.9647488045632696,homo_extrapolated,
0.0645432099699974,0.1055838301445154,0.9643436164033674,homo_extrapolated,
0.062365785241127,0.0981044450190431,0.9655073011047396,homo_extrapolated,
0.0617763213813304,0.1087814515017994,0.962678369965098,homo_extrapolated,
0.0681970566511154,0.1131116238346917,0.9547342384027871,homo_extrapolated,
0.0385959669947624,0.0556441698166371,0.8632739472418306,delta_optical_lumo,
0.03844004124403,0.0574103964309823,0.8623358113565258,delta_optical_lumo,
0.0399241633713245,0.0607870897304641,0.8460703864335193,delta_optical_lumo,
0.0365095697343349,0.053429122175357,0.8746017986872552,delta_optical_lumo,
0.0381211079657077,0.0635075896800399,0.8322035526832746,delta_optical_lumo,
0.0449763648211956,0.065213693835416,0.9770683832326532,gap,
0.0453233793377876,0.0709700665259439,0.9741395050577496,gap,
0.0456529296934604,0.0657018013411464,0.9767806758524892,gap,
0.0437708124518394,0.0732094150973553,0.9721889727741424,gap,
0.0398091040551662,0.0597006025681236,0.9828150986006956,gap,
0.037613920867443,0.0571402554772591,0.9859797673025212,homo,
0.0367665626108646,0.0570107873204756,0.9879840244059186,homo,
0.0350386016070842,0.0520221576929961,0.9886950504773449,homo,
0.0380692295730114,0.0607835351408988,0.9858150919953677,homo,
0.0381365306675434,0.0690814606985701,0.9807238888053728,homo,
