mae,rmse,r2,target,split
0.0421593561768531,0.058665247846397,0.8480244344805552,delta_optical_lumo,0
0.0418989546597003,0.0603757022985637,0.8477475524235292,delta_optical_lumo,1
0.0408540144562721,0.0620347622236213,0.839686639267476,delta_optical_lumo,2
0.0413251109421253,0.058264167029578,0.8508791712934136,delta_optical_lumo,3
0.0424613356590271,0.067319363285335,0.8114565133492062,delta_optical_lumo,4
0.0735571682453155,0.1120330386171985,0.9334105281559476,gap_extrapolated,0
0.0767646431922912,0.1317592892534344,0.9079973274752487,gap_extrapolated,1
0.0767556130886077,0.1230384051723023,0.913445145326788,gap_extrapolated,2
0.0784182474017143,0.123642851887451,0.9204635413555752,gap_extrapolated,3
0.0742250382900238,0.1106742975407972,0.9332384551474384,gap_extrapolated,4
116.58756256103516,190.35805078850748,0.9798895896458496,spectral_overlap,0
121.62686157226562,197.66413274795204,0.9759382318222598,spectral_overlap,1
121.92152404785156,196.47353908987336,0.9777131231097328,spectral_overlap,2
121.7681884765625,192.72878044677188,0.9791284264919584,spectral_overlap,3
125.69995880126952,200.79768658403412,0.978513870728806,spectral_overlap,4
