split,target,test/multiclass-accuracy,test/multiclass-f1,test/multiclass-roc
0,phase_label,0.2361079752445221,0.1975894272327423,0.376067966222763
1,phase_label,0.12049450725317,0.1452178657054901,0.4478221833705902
2,phase_label,0.1777749508619308,0.1590693593025207,0.4813173711299896
3,phase_label,0.2641631066799164,0.2599958777427673,0.5807530879974365
4,phase_label,0.3417146205902099,0.3243070244789123,0.454222559928894
