test/mae,test/rmse,test/r2,split,target
6.115435713383022e-09,8.50175929656416e-09,0.6783364415168762,0,TFSI Diffusivity
6.701657451202436e-09,9.296611480635875e-09,0.6063953638076782,1,TFSI Diffusivity
6.6860716962935385e-09,9.297803416075112e-09,0.6559074521064758,2,TFSI Diffusivity
6.738118507598756e-09,9.154809355038651e-09,0.5926080346107483,3,TFSI Diffusivity
6.964767429451513e-09,1.002031790875435e-08,0.5919249057769775,4,TFSI Diffusivity
