split,target,test/multiclass-accuracy,test/multiclass-f1,test/multiclass-roc
0,phase_label,0.2906391620635986,0.222266286611557,0.4068265855312347
1,phase_label,0.154084250330925,0.1152751222252845,0.4208115041255951
2,phase_label,0.1407379209995269,0.1396728605031967,0.3902844786643982
3,phase_label,0.1824840009212494,0.1627501547336578,0.6013011932373047
4,phase_label,0.2891743779182434,0.2857617735862732,0.4178434312343597
